x,y1,y2
48.16316,-43.57558,41.52219
48.20921,-43.53577,41.55783
48.25526,-43.49593,41.59354
48.30130,-43.45606,41.62931
48.34735,-43.41616,41.66514
48.39339,-43.37624,41.70102
48.43944,-43.33628,41.73697
48.48549,-43.29628,41.77298
48.53153,-43.25626,41.80905
48.57758,-43.21621,41.84518
48.62362,-43.17613,41.88137
48.66967,-43.13602,41.91761
48.71572,-43.09588,41.95392
48.76176,-43.05571,41.99028
48.80781,-43.01551,42.02671
48.85385,-42.97528,42.06319
48.89990,-42.93502,42.09973
48.94595,-42.89472,42.13633
48.99199,-42.85440,42.17299
49.03804,-42.81405,42.20970
49.08408,-42.77367,42.24647
49.13013,-42.73326,42.28330
49.17618,-42.69282,42.32019
49.22222,-42.65235,42.35713
49.26827,-42.61185,42.39413
49.31431,-42.57132,42.43119
49.36036,-42.53076,42.46831
49.40641,-42.49017,42.50548
49.45245,-42.44955,42.54270
49.49850,-42.40890,42.57998
49.54454,-42.36823,42.61732
49.59059,-42.32752,42.65472
49.63664,-42.28678,42.69216
49.68268,-42.24601,42.72967
49.72873,-42.20522,42.76723
49.77477,-42.16439,42.80484
49.82082,-42.12354,42.84251
49.86687,-42.08266,42.88023
49.91291,-42.04174,42.91801
49.95896,-42.00080,42.95584
50.00501,-41.95983,42.99373
50.05105,-41.91883,43.03167
50.09710,-41.87780,43.06966
50.14314,-41.83674,43.10770
50.18919,-41.79565,43.14580
50.23524,-41.75454,43.18395
50.28128,-41.71339,43.22216
50.32733,-41.67222,43.26041
50.37337,-41.63101,43.29872
50.41942,-41.58978,43.33708
50.46547,-41.54852,43.37550
50.51151,-41.50723,43.41396
50.55756,-41.46591,43.45248
50.60360,-41.42456,43.49104
50.64965,-41.38319,43.52966
50.69570,-41.34178,43.56833
50.74174,-41.30035,43.60705
50.78779,-41.25889,43.64582
50.83383,-41.21740,43.68464
50.87988,-41.17588,43.72352
50.92593,-41.13434,43.76244
50.97197,-41.09276,43.80141
51.01802,-41.05116,43.84043
51.06406,-41.00953,43.87950
51.11011,-40.96787,43.91862
51.15616,-40.92618,43.95779
51.20220,-40.88447,43.99700
51.24825,-40.84272,44.03627
51.29429,-40.80095,44.07558
51.34034,-40.75915,44.11495
51.38639,-40.71733,44.15436
51.43243,-40.67547,44.19382
51.47848,-40.63359,44.23332
51.52452,-40.59168,44.27288
51.57057,-40.54974,44.31248
51.61662,-40.50778,44.35212
51.66266,-40.46578,44.39182
51.70871,-40.42376,44.43156
51.75475,-40.38171,44.47135
51.80080,-40.33964,44.51118
51.84685,-40.29754,44.55106
