x,y1,y2
2.34274,50.26312,62.82387
2.34625,50.30421,62.86590
2.34975,50.34551,62.90814
2.35325,50.38704,62.95061
2.35676,50.42878,62.99330
2.36026,50.47074,63.03620
2.36376,50.51292,63.07932
2.36727,50.55531,63.12266
2.37077,50.59791,63.16621
2.37427,50.64073,63.20998
2.37778,50.68375,63.25395
2.38128,50.72699,63.29815
2.38478,50.77044,63.34255
2.38829,50.81409,63.38716
2.39179,50.85796,63.43198
2.39530,50.90202,63.47701
2.39880,50.94630,63.52224
2.40230,50.99077,63.56768
2.40581,51.03545,63.61332
2.40931,51.08033,63.65917
2.41281,51.12541,63.70522
2.41632,51.17069,63.75147
2.41982,51.21617,63.79791
2.42332,51.26184,63.84456
2.42683,51.30772,63.89140
2.43033,51.35378,63.93844
2.43383,51.40004,63.98568
2.43734,51.44649,64.03311
2.44084,51.49313,64.08073
2.44434,51.53996,64.12854
2.44785,51.58698,64.17654
2.45135,51.63419,64.22473
2.45485,51.68158,64.27311
2.45836,51.72916,64.32168
2.46186,51.77693,64.37043
2.46537,51.82487,64.41936
2.46887,51.87300,64.46848
2.47237,51.92131,64.51777
2.47588,51.96980,64.56725
2.47938,52.01846,64.61691
2.48288,52.06730,64.66674
2.48639,52.11632,64.71675
2.48989,52.16551,64.76694
2.49339,52.21487,64.81730
2.49690,52.26441,64.86783
2.50040,52.31412,64.91853
2.50390,52.36399,64.96940
2.50741,52.41403,65.02044
2.51091,52.46425,65.07165
2.51441,52.51462,65.12302
2.51792,52.56516,65.17456
2.52142,52.61586,65.22626
2.52492,52.66673,65.27812
2.52843,52.71775,65.33014
2.53193,52.76894,65.38232
2.53544,52.82028,65.43466
2.53894,52.87178,65.48715
2.54244,52.92343,65.53980
2.54595,52.97524,65.59261
2.54945,53.02720,65.64556
2.55295,53.07931,65.69867
2.55646,53.13157,65.75192
2.55996,53.18398,65.80532
2.56346,53.23654,65.85887
2.56697,53.28925,65.91256
2.57047,53.34210,65.96640
2.57397,53.39509,66.02038
2.57748,53.44822,66.07450
2.58098,53.50150,66.12876
2.58448,53.55492,66.18316
2.58799,53.60847,66.23769
2.59149,53.66216,66.29236
2.59499,53.71599,66.34716
2.59850,53.76995,66.40209
2.60200,53.82404,66.45716
2.60551,53.87827,66.51235
2.60901,53.93262,66.56767
2.61251,53.98711,66.62312
2.61602,54.04172,66.67869
2.61952,54.09645,66.73439
2.62302,54.15132,66.79020
2.62653,54.20630,66.84614
2.63003,54.26141,66.90220
2.63353,54.31664,66.95837
2.63704,54.37199,67.01466
2.64054,54.42746,67.07106
2.64404,54.48304,67.12758
2.64755,54.53874,67.18420
2.65105,54.59455,67.24094
2.65455,54.65048,67.29778
2.65806,54.70651,67.35474
2.66156,54.76266,67.41179
2.66507,54.81891,67.46895
2.66857,54.87527,67.52622
2.67207,54.93174,67.58358
2.67558,54.98831,67.64104
2.67908,55.04499,67.69860
2.68258,55.10176,67.75626
2.68609,55.15864,67.81401
2.68959,55.21561,67.87185
2.69309,55.27268,67.92979
2.69660,55.32985,67.98781
2.70010,55.38711,68.04593
2.70360,55.44447,68.10413
2.70711,55.50191,68.16241
2.71061,55.55945,68.22078
2.71411,55.61708,68.27923
2.71762,55.67479,68.33777
2.72112,55.73259,68.39638
2.72462,55.79047,68.45507
2.72813,55.84844,68.51383
2.73163,55.90649,68.57267
2.73514,55.96462,68.63159
2.73864,56.02282,68.69057
2.74214,56.08111,68.74962
2.74565,56.13947,68.80875
2.74915,56.19791,68.86793
2.75265,56.25642,68.92719
2.75616,56.31500,68.98651
2.75966,56.37365,69.04589
2.76316,56.43237,69.10533
2.76667,56.49116,69.16483
2.77017,56.55001,69.22438
2.77367,56.60893,69.28400
2.77718,56.66791,69.34366
2.78068,56.72696,69.40338
2.78418,56.78606,69.46315
2.78769,56.84523,69.52297
2.79119,56.90445,69.58284
2.79469,56.96373,69.64276
2.79820,57.02306,69.70272
2.80170,57.08244,69.76272
2.80521,57.14188,69.82277
2.80871,57.20137,69.88286
2.81221,57.26090,69.94298
2.81572,57.32049,70.00314
2.81922,57.38012,70.06334
2.82272,57.43979,70.12358
2.82623,57.49951,70.18384
2.82973,57.55927,70.24414
2.83323,57.61907,70.30446
2.83674,57.67891,70.36482
2.84024,57.73878,70.42520
2.84374,57.79870,70.48560
2.84725,57.85864,70.54603
2.85075,57.91862,70.60649
2.85425,57.97863,70.66696
2.85776,58.03868,70.72745
2.86126,58.09875,70.78796
2.86476,58.15884,70.84848
2.86827,58.21897,70.90902
2.87177,58.27912,70.96957
2.87528,58.33929,71.03013
2.87878,58.39948,71.09070
2.88228,58.45969,71.15128
2.88579,58.51992,71.21187
2.88929,58.58017,71.27246
2.89279,58.64044,71.33306
2.89630,58.70072,71.39366
2.89980,58.76101,71.45426
2.90330,58.82131,71.51486
2.90681,58.88163,71.57546
2.91031,58.94195,71.63605
2.91381,59.00228,71.69664
2.91732,59.06262,71.75722
2.92082,59.12296,71.81779
2.92432,59.18330,71.87836
2.92783,59.24365,71.93891
2.93133,59.30399,71.99945
2.93483,59.36434,72.05998
2.93834,59.42468,72.12049
2.94184,59.48502,72.18098
2.94535,59.54535,72.24146
2.94885,59.60567,72.30192
2.95235,59.66599,72.36235
2.95586,59.72630,72.42277
2.95936,59.78659,72.48315
2.96286,59.84687,72.54352
2.96637,59.90714,72.60385
2.96987,59.96740,72.66416
2.97337,60.02764,72.72444
2.97688,60.08785,72.78469
2.98038,60.14805,72.84490
2.98388,60.20823,72.90508
2.98739,60.26839,72.96523
2.99089,60.32852,73.02534
2.99439,60.38863,73.08541
2.99790,60.44871,73.14544
3.00140,60.50876,73.20543
3.00490,60.56879,73.26538
3.00841,60.62878,73.32528
3.01191,60.68874,73.38514
3.01542,60.74867,73.44496
3.01892,60.80856,73.50472
3.02242,60.86842,73.56444
3.02593,60.92824,73.62411
3.02943,60.98802,73.68372
3.03293,61.04776,73.74328
3.03644,61.10746,73.80279
3.03994,61.16712,73.86224
3.04344,61.22673,73.92163
3.04695,61.28630,73.98097
3.05045,61.34581,74.04025
3.05395,61.40529,74.09946
3.05746,61.46471,74.15862
3.06096,61.52408,74.21771
3.06446,61.58340,74.27673
3.06797,61.64266,74.33569
3.07147,61.70187,74.39458
3.07497,61.76103,74.45340
3.07848,61.82012,74.51216
3.08198,61.87916,74.57084
3.08549,61.93814,74.62945
3.08899,61.99705,74.68798
3.09249,62.05591,74.74644
3.09600,62.11469,74.80483
3.09950,62.17342,74.86313
3.10300,62.23208,74.92136
3.10651,62.29066,74.97951
3.11001,62.34919,75.03758
3.11351,62.40764,75.09557
3.11702,62.46601,75.15347
3.12052,62.52432,75.21129
3.12402,62.58255,75.26902
3.12753,62.64071,75.32666
3.13103,62.69878,75.38422
3.13453,62.75679,75.44169
3.13804,62.81471,75.49907
3.14154,62.87255,75.55635
3.14505,62.93031,75.61355
3.14855,62.98799,75.67065
3.15205,63.04558,75.72765
3.15556,63.10309,75.78456
3.15906,63.16051,75.84137
3.16256,63.21784,75.89808
3.16607,63.27509,75.95470
3.16957,63.33224,76.01121
3.17307,63.38931,76.06762
3.17658,63.44628,76.12393
3.18008,63.50316,76.18013
3.18358,63.55994,76.23624
3.18709,63.61663,76.29223
3.19059,63.67322,76.34812
3.19409,63.72971,76.40390
3.19760,63.78610,76.45957
3.20110,63.84239,76.51513
3.20460,63.89859,76.57058
3.20811,63.95467,76.62591
3.21161,64.01066,76.68114
3.21512,64.06654,76.73625
